[DEBUG][2017-07-03 10:22:21,061][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/o/simmetrica
[DEBUG][2017-07-03 10:22:21,061][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/o/sitemap-php
[DEBUG][2017-07-03 10:22:21,061][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/o/symfony-build-deploy
[DEBUG][2017-07-03 10:22:21,061][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/o/riemann-curl
[DEBUG][2017-07-03 10:22:21,061][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/o/EasyRestBundle
[DEBUG][2017-07-03 10:22:21,061][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/o/dotfiles
[DEBUG][2017-07-03 10:22:21,061][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/Y
[DEBUG][2017-07-03 10:22:21,061][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/E
[DEBUG][2017-07-03 10:22:21,094][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:21,094][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/about/press
[DEBUG][2017-07-03 10:22:21,780][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:21,780][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/jhy/jsoup
[DEBUG][2017-07-03 10:22:22,086][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:22,086][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/g
[DEBUG][2017-07-03 10:22:22,086][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/organizations/g
[DEBUG][2017-07-03 10:22:22,086][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/orgs/g
[DEBUG][2017-07-03 10:22:22,086][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/g/roboteq
[DEBUG][2017-07-03 10:22:22,086][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/g/grizzly_robot
[DEBUG][2017-07-03 10:22:22,086][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/g/grizzly
[DEBUG][2017-07-03 10:22:22,086][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/g/grizzly_simulator
